Code,Description,Minimum,Maximum,Score,
PerformanceDuration,Performance Duration [min],0,16,1,
PerformanceDuration,Performance Duration [min],17,32,2,
PerformanceDuration,Performance Duration [min],33,48,3,
PerformanceDuration,Performance Duration [min],49,64,4,
PerformanceDuration,Performance Duration [min],65,80,5,
PerformanceDuration,Performance Duration [min],81,96,6,
PerformanceDuration,Performance Duration [min],97,112,7,
PerformanceDuration,Performance Duration [min],113,128,8,
PerformanceDuration,Performance Duration [min],129,144,9,
PerformanceDuration,Performance Duration [min],145,999,10,
TotalDistance,Total Distance [m],1,1500,1,
TotalDistance,Total Distance [m],1501,3000,2,
TotalDistance,Total Distance [m],3001,4500,3,
TotalDistance,Total Distance [m],4501,6000,4,
TotalDistance,Total Distance [m],6001,7500,5,
TotalDistance,Total Distance [m],7501,9000,6,
TotalDistance,Total Distance [m],9001,10500,7,
TotalDistance,Total Distance [m],10501,12000,8,
TotalDistance,Total Distance [m],12001,14500,9,
TotalDistance,Total Distance [m],14501,99999,10,
WalkDistance,Walk Distance [m],1,280,1,
WalkDistance,Walk Distance [m],281,560,2,
WalkDistance,Walk Distance [m],561,840,3,
WalkDistance,Walk Distance [m],841,1120,4,
WalkDistance,Walk Distance [m],1121,1400,5,
WalkDistance,Walk Distance [m],1401,1680,6,
WalkDistance,Walk Distance [m],1681,1960,7,
WalkDistance,Walk Distance [m],1961,2240,8,
WalkDistance,Walk Distance [m],2241,2520,9,
WalkDistance,Walk Distance [m],2521,9999,10,
JogDistance,Jog Distance [m],1,1000,1,
JogDistance,Jog Distance [m],1001,2000,2,
JogDistance,Jog Distance [m],2001,3000,3,
JogDistance,Jog Distance [m],3001,4000,4,
JogDistance,Jog Distance [m],4001,5000,5,
JogDistance,Jog Distance [m],5001,6000,6,
JogDistance,Jog Distance [m],6001,7000,7,
JogDistance,Jog Distance [m],7001,8000,8,
JogDistance,Jog Distance [m],8001,9000,9,
JogDistance,Jog Distance [m],9001,9999,10,
RunDistance,Run Distance [m],1,220,1,
RunDistance,Run Distance [m],221,440,2,
RunDistance,Run Distance [m],441,660,3,
RunDistance,Run Distance [m],661,880,4,
RunDistance,Run Distance [m],881,1100,5,
RunDistance,Run Distance [m],1101,1320,6,
RunDistance,Run Distance [m],1321,1540,7,
RunDistance,Run Distance [m],1541,1760,8,
RunDistance,Run Distance [m],1761,1980,9,
RunDistance,Run Distance [m],1981,9999,10,
SprintDistance,Sprint Distance [m],1,30,1,
SprintDistance,Sprint Distance [m],31,60,2,
SprintDistance,Sprint Distance [m],61,90,3,
SprintDistance,Sprint Distance [m],91,120,4,
SprintDistance,Sprint Distance [m],121,150,5,
SprintDistance,Sprint Distance [m],151,180,6,
SprintDistance,Sprint Distance [m],181,210,7,
SprintDistance,Sprint Distance [m],211,240,8,
SprintDistance,Sprint Distance [m],241,270,9,
SprintDistance,Sprint Distance [m],271,9999,10,
SprintEfforts,Sprint Efforts,1,1.5,1,
SprintEfforts,Sprint Efforts,1.6,3,2,
SprintEfforts,Sprint Efforts,3.1,4.5,3,
SprintEfforts,Sprint Efforts,4.6,6,4,
SprintEfforts,Sprint Efforts,6.1,7.5,5,
SprintEfforts,Sprint Efforts,7.6,9,6,
SprintEfforts,Sprint Efforts,9.1,10.5,7,
SprintEfforts,Sprint Efforts,10.6,12,8,
SprintEfforts,Sprint Efforts,12.1,13.5,9,
SprintEfforts,Sprint Efforts,13.6,99,10,
Zone1Distance,Zone 1 Distance ,1,270,1,
Zone1Distance,Zone 1 Distance ,271,540,2,
Zone1Distance,Zone 1 Distance ,541,810,3,
Zone1Distance,Zone 1 Distance ,811,1080,4,
Zone1Distance,Zone 1 Distance ,1081,1350,5,
Zone1Distance,Zone 1 Distance ,1351,1620,6,
Zone1Distance,Zone 1 Distance ,1621,1890,7,
Zone1Distance,Zone 1 Distance ,1891,2160,8,
Zone1Distance,Zone 1 Distance ,2161,2430,9,
Zone1Distance,Zone 1 Distance ,2431,9999,10,
Zone2Distance,Zone 2 Distance ,1,1000,1,
Zone2Distance,Zone 2 Distance ,1001,2000,2,
Zone2Distance,Zone 2 Distance ,2001,3000,3,
Zone2Distance,Zone 2 Distance ,3001,4000,4,
Zone2Distance,Zone 2 Distance ,4001,5000,5,
Zone2Distance,Zone 2 Distance ,5001,6000,6,
Zone2Distance,Zone 2 Distance ,6001,7000,7,
Zone2Distance,Zone 2 Distance ,7001,8000,8,
Zone2Distance,Zone 2 Distance ,8001,9000,9,
Zone2Distance,Zone 2 Distance ,9001,9999,10,
Zone3Distance,Zone 3 Distance ,1,220,1,
Zone3Distance,Zone 3 Distance ,221,440,2,
Zone3Distance,Zone 3 Distance ,441,660,3,
Zone3Distance,Zone 3 Distance ,661,880,4,
Zone3Distance,Zone 3 Distance ,881,1100,5,
Zone3Distance,Zone 3 Distance ,1101,1320,6,
Zone3Distance,Zone 3 Distance ,1321,1540,7,
Zone3Distance,Zone 3 Distance ,1541,1760,8,
Zone3Distance,Zone 3 Distance ,1761,1980,9,
Zone3Distance,Zone 3 Distance ,1981,9999,10,
Zone4Distance,Zone 4 Distance ,1,30,1,
Zone4Distance,Zone 4 Distance ,31,60,2,
Zone4Distance,Zone 4 Distance ,61,90,3,
Zone4Distance,Zone 4 Distance ,91,120,4,
Zone4Distance,Zone 4 Distance ,121,150,5,
Zone4Distance,Zone 4 Distance ,151,180,6,
Zone4Distance,Zone 4 Distance ,181,210,7,
Zone4Distance,Zone 4 Distance ,211,240,8,
Zone4Distance,Zone 4 Distance ,241,270,9,
Zone4Distance,Zone 4 Distance ,271,999,10,
HardRunning,Hard Running [m],1,130,1,
HardRunning,Hard Running [m],131,260,2,
HardRunning,Hard Running [m],261,390,3,
HardRunning,Hard Running [m],391,520,4,
HardRunning,Hard Running [m],521,650,5,
HardRunning,Hard Running [m],651,780,6,
HardRunning,Hard Running [m],781,910,7,
HardRunning,Hard Running [m],911,1040,8,
HardRunning,Hard Running [m],1041,1170,9,
HardRunning,Hard Running [m],1171,9999,10,
HardRunningEfforts,Hard Running Efforts,1,6,1,
HardRunningEfforts,Hard Running Efforts,7,12,2,
HardRunningEfforts,Hard Running Efforts,13,18,3,
HardRunningEfforts,Hard Running Efforts,19,24,4,
HardRunningEfforts,Hard Running Efforts,25,30,5,
HardRunningEfforts,Hard Running Efforts,31,36,6,
HardRunningEfforts,Hard Running Efforts,37,42,7,
HardRunningEfforts,Hard Running Efforts,43,48,8,
HardRunningEfforts,Hard Running Efforts,49,54,9,
HardRunningEfforts,Hard Running Efforts,55,99,10,
WorkRate,Work Rate [m/min],1,10,1,
WorkRate,Work Rate [m/min],11,20,2,
WorkRate,Work Rate [m/min],21,30,3,
WorkRate,Work Rate [m/min],31,40,4,
WorkRate,Work Rate [m/min],41,50,5,
WorkRate,Work Rate [m/min],51,60,6,
WorkRate,Work Rate [m/min],61,70,7,
WorkRate,Work Rate [m/min],71,80,8,
WorkRate,Work Rate [m/min],81,90,9,
WorkRate,Work Rate [m/min],91,99,10,
TopSpeed,Top Speed [m/s],0.01,0.95,1,
TopSpeed,Top Speed [m/s],0.96,1.9,2,
TopSpeed,Top Speed [m/s],1.91,2.85,3,
TopSpeed,Top Speed [m/s],2.86,3.8,4,
TopSpeed,Top Speed [m/s],3.81,4.75,5,
TopSpeed,Top Speed [m/s],4.76,5.7,6,
TopSpeed,Top Speed [m/s],5.71,6.65,7,
TopSpeed,Top Speed [m/s],6.66,7.6,8,
TopSpeed,Top Speed [m/s],7.61,8.55,9,
TopSpeed,Top Speed [m/s],8.56,9,10,
Intensity,Intensity,0.01,12,1,
Intensity,Intensity,12.01,24,2,
Intensity,Intensity,24.01,36,3,
Intensity,Intensity,36.01,48,4,
Intensity,Intensity,48.01,60,5,
Intensity,Intensity,60.01,72,6,
Intensity,Intensity,72.01,84,7,
Intensity,Intensity,84.01,96,8,
Intensity,Intensity,96.01,108,9,
Intensity,Intensity,108.01,999,10,
ImpactLight,Impact Light,1,3,1,
ImpactLight,Impact Light,4,6,2,
ImpactLight,Impact Light,7,9,3,
ImpactLight,Impact Light,10,12,4,
ImpactLight,Impact Light,13,15,5,
ImpactLight,Impact Light,16,18,6,
ImpactLight,Impact Light,19,21,7,
ImpactLight,Impact Light,22,24,8,
ImpactLight,Impact Light,25,27,9,
ImpactLight,Impact Light,28,99,10,
Load2D,Load 2D,1,75,1,
Load2D,Load 2D,76,150,2,
Load2D,Load 2D,151,225,3,
Load2D,Load 2D,226,300,4,
Load2D,Load 2D,301,375,5,
Load2D,Load 2D,376,450,6,
Load2D,Load 2D,451,525,7,
Load2D,Load 2D,526,600,8,
Load2D,Load 2D,601,675,9,
Load2D,Load 2D,676,999,10,
Load3D,Load 3D,1,110,1,
Load3D,Load 3D,111,220,2,
Load3D,Load 3D,221,330,3,
Load3D,Load 3D,331,440,4,
Load3D,Load 3D,441,550,5,
Load3D,Load 3D,551,660,6,
Load3D,Load 3D,661,770,7,
Load3D,Load 3D,771,880,8,
Load3D,Load 3D,881,990,9,
Load3D,Load 3D,991,999,10,
HRMean,HR Mean [BPM],1,17,1,
HRMean,HR Mean [BPM],18,34,2,
HRMean,HR Mean [BPM],35,51,3,
HRMean,HR Mean [BPM],52,68,4,
HRMean,HR Mean [BPM],69,85,5,
HRMean,HR Mean [BPM],86,102,6,
HRMean,HR Mean [BPM],103,119,7,
HRMean,HR Mean [BPM],120,136,8,
HRMean,HR Mean [BPM],137,153,9,
HRMean,HR Mean [BPM],154,999,10,
HRMax,HR Max [BPM],1,22,1,
HRMax,HR Max [BPM],23,44,2,
HRMax,HR Max [BPM],45,66,3,
HRMax,HR Max [BPM],67,88,4,
HRMax,HR Max [BPM],89,110,5,
HRMax,HR Max [BPM],111,132,6,
HRMax,HR Max [BPM],133,154,7,
HRMax,HR Max [BPM],155,176,8,
HRMax,HR Max [BPM],177,198,9,
HRMax,HR Max [BPM],199,999,10,
HRGreyZone,HR Grey Zone [%],0.01,6.5,1,
HRGreyZone,HR Grey Zone [%],6.51,13,2,
HRGreyZone,HR Grey Zone [%],13.01,19.5,3,
HRGreyZone,HR Grey Zone [%],19.51,26,4,
HRGreyZone,HR Grey Zone [%],26.01,32.5,5,
HRGreyZone,HR Grey Zone [%],32.51,39,6,
HRGreyZone,HR Grey Zone [%],39.01,45.5,7,
HRGreyZone,HR Grey Zone [%],45.51,52,8,
HRGreyZone,HR Grey Zone [%],52.01,58.5,9,
HRGreyZone,HR Grey Zone [%],58.51,99,10,
HRBlueZone,HR Blue Zone [%],0.01,4,1,
HRBlueZone,HR Blue Zone [%],4.01,8,2,
HRBlueZone,HR Blue Zone [%],8.01,12,3,
HRBlueZone,HR Blue Zone [%],12.01,16,4,
HRBlueZone,HR Blue Zone [%],16.01,20,5,
HRBlueZone,HR Blue Zone [%],20.01,24,6,
HRBlueZone,HR Blue Zone [%],24.01,28,7,
HRBlueZone,HR Blue Zone [%],28.01,32,8,
HRBlueZone,HR Blue Zone [%],32.01,36,9,
HRBlueZone,HR Blue Zone [%],36.01,99,10,
HRGreenZone,HR Green Zone [%],0.01,2.3,1,
HRGreenZone,HR Green Zone [%],2.31,4.6,2,
HRGreenZone,HR Green Zone [%],4.61,6.9,3,
HRGreenZone,HR Green Zone [%],6.91,9.2,4,
HRGreenZone,HR Green Zone [%],9.21,11.5,5,
HRGreenZone,HR Green Zone [%],11.51,13.8,6,
HRGreenZone,HR Green Zone [%],13.81,16.1,7,
HRGreenZone,HR Green Zone [%],16.11,18.4,8,
HRGreenZone,HR Green Zone [%],18.41,20.7,9,
HRGreenZone,HR Green Zone [%],20.71,99,10,
HRYellowZone,HR Yellow Zone [%],0.01,4.7,1,
HRYellowZone,HR Yellow Zone [%],4.71,9.4,2,
HRYellowZone,HR Yellow Zone [%],9.41,14.1,3,
HRYellowZone,HR Yellow Zone [%],14.11,18.8,4,
HRYellowZone,HR Yellow Zone [%],18.81,23.5,5,
HRYellowZone,HR Yellow Zone [%],23.51,28.2,6,
HRYellowZone,HR Yellow Zone [%],28.21,32.9,7,
HRYellowZone,HR Yellow Zone [%],32.91,37.6,8,
HRYellowZone,HR Yellow Zone [%],37.61,42.3,9,
HRYellowZone,HR Yellow Zone [%],42.31,99,10,
HRRedZone,HR Red Zone [%],0.01,2.2,1,
HRRedZone,HR Red Zone [%],2.21,4.4,2,
HRRedZone,HR Red Zone [%],4.41,6.6,3,
HRRedZone,HR Red Zone [%],6.61,8.8,4,
HRRedZone,HR Red Zone [%],8.81,11,5,
HRRedZone,HR Red Zone [%],11.01,13.2,6,
HRRedZone,HR Red Zone [%],13.21,15.4,7,
HRRedZone,HR Red Zone [%],15.41,17.6,8,
HRRedZone,HR Red Zone [%],17.61,19.8,9,
HRRedZone,HR Red Zone [%],19.81,99,10,
HREfficiency,HR Efficiency [m/beat],0.01,0.11,1,
HREfficiency,HR Efficiency [m/beat],0.12,0.22,2,
HREfficiency,HR Efficiency [m/beat],0.23,0.33,3,
HREfficiency,HR Efficiency [m/beat],0.34,0.44,4,
HREfficiency,HR Efficiency [m/beat],0.45,0.55,5,
HREfficiency,HR Efficiency [m/beat],0.56,0.66,6,
HREfficiency,HR Efficiency [m/beat],0.67,0.77,7,
HREfficiency,HR Efficiency [m/beat],0.78,0.88,8,
HREfficiency,HR Efficiency [m/beat],0.89,0.99,9,
HREfficiency,HR Efficiency [m/beat],1,9,10,
